Tweet,Lemmatized_Tokens
"Για το μεταναστευτικό όπως είπε δεν θα υπάρξει περαιτέρω εμπλοκή των ΕΔ. Επιπροσθέτως, εκτιμά πως για τη Τουρκία η…","['μεταναστευτικό', 'λέω', 'υπάρξω', 'περαιτέρω', 'εμπλοκός', 'επιπροσθέτως', 'εκτιμώ', 'για', 'Τουρκία']"
Ενα πραγμα δεν μπορώ να καταλάβω πως ειναι δυνατόν μια χωρα σαν την Ελλαδα να εχει τοσο ανίκανους  πολιτικους τοσο…,"['ενα', 'πραγμο', 'μπορώ', 'καταλάβω', 'ειναι', 'δυνατόν', 'χωρας', 'την', 'Ελλαδα', 'εχω', 'τοσο', 'ανίκανου', 'πολιτικους', 'τοσο', '…']"
﻿AdonisGeorgiadi @skaigr @YouTube Τη λύση για το μεταναστευτικό την είπε ο Κύρτσος.Μοντέλο Αυστραλίας.Μεταφορα σε α…,"['\ufeffadonisgeorgiadi', 'λύση', 'μεταναστευτικό', 'λέω', 'ΚύρτσοςΜοντέλο', 'αυστραλίαςμεταφορας']"
"Είμαστε 39 χρόνια σκατα εντός της Ένωσης, ισως γίνουμε καλύτεροι με τους πρόσφυγες. Με εσας τους φασίστες προκοπή δ…","['χρόνια', 'σκαα', 'της', 'ένωση', 'ισως', 'γίνω', 'καλύτερος', 'πρόσφυγα', 'εσας', 'τους', 'φασίστες', 'προκοπή']"
@MeaCulpagr @peristeraRa Όταν θα έρθουν και οι τζιχαντιστές να δούμε τι θα γίνει??,"['όταν', 'έρθω', 'τζιχαντιστής', 'δούμε', 'γίνω']"
@panas3223 @Lnzlpd Ειπε κανενας οχι; να αφησουμε δηλαδη τους μπατσους να αλωνίζουν στην κοινωνική ζωη με την λογική…,"['ειπε', 'κανενα', 'οχι', 'αφησω', 'δηλαδη', 'μπατσου', 'αλωνίζω', 'κοινωνικός', 'ζωη', 'την', 'λογικός', '…', 'two']"
Πόσα φούμαρα μας πετάνε οι #νδ_no_borders πολιτικοί απατεώνες!,"['πόσα', 'φούμαρα', 'πετάνε', 'νδno', 'πολιτικός', 'απατεώνες', 'σύνορο']"
Ο επικίνδυνος Μητσοτάκης ΔΕΝ ΤΗΡΕΙ ΤΟ ΝΟΜΟ ΓΙΑ ΣΥΛΛΗ…,"['επικίνδυνος', 'μητσοτάκη', 'τηρει', 'νομο', 'συλλη', '…']"
ΤΟΥΡΚΙΚΗ ΠΡΟΠΑΓΑΝΔΑ  Αφγανός μετανάστης καταγγέλλει την Ελλάδα ότι δεν του έστρωσε κόκκινο χαλί – «Με έδειραν στα σ…,"['τουρκικη', 'προπαγανδας', 'αφγανός', 'μετανάστης', 'καταγγέλλω', 'Ελλάδα', 'δεν', 'έστρωσε', 'κόκκινος', 'χαλί', 'έδειραν']"
@Trash2003 @SmaragdaKrik Λίγο αργά ρε γμτ για μετανάστευση,"['λίγο', 'αργά', 'γμτ', 'μετανάστευση', 'three', 'Σκουπίδια']"
@HelenaDaZeus Τώρα που έχουμε Κούλη δε θα υπάρχει μετανάστης γιατί θα γίνουμε εμείς μετανάστες χχαχα,"['που', 'Κούλη', 'υπάρχω', 'μετανάστης', 'γίνω', 'μετανάστα', 'χχαχο']"
@Kathimerini_gr Να κάνουν καλή έρευνα όμως!!!,"['κάνω', 'καλός', 'έρευνα']"
Αφγανός μετανάστης καταγγέλλει την Ελλάδα ότι δεν του έστρωσε κόκκινο χαλί – «Με έδειραν στα σύνορα» (Βίντεο) -,"['αφγανός', 'μετανάστης', 'καταγγέλλω', 'Ελλάδα', 'δεν', 'έστρωσε', 'κόκκινος', 'χαλί', 'έδειραν', 'σύνορο', 'βίντεο']"
﻿@Harhalas Καλά να πάθουν.. Σύντομα και στις μάνες τις αδελφές και τις γυναίκες μας,"['\ufeffharhalas', 'πάθω', 'σύντομα', 'στι', 'μάνες', 'αδελφές', 'τις', 'γυναίκα']"
Το Μεταναστευτικό στην ατζέντα του Περιφερειακού Συμβουλίου Στερεάς .,"['μεταναστευτικό', 'ατζέντα', 'περιφερειακός', 'συμβουλίο', 'Στερεάς']"
μέσω του χρήστη @ilamia,"['του', 'χρήστη']"
Οι Ελληνες παίρνουν την κατάσταση στα χέρια τους: Kινητοποιήσεις στη Σάμο για το μεταναστευτικό – Εκτός ελέγχου η κ…,"['ελληνα', 'παίρνω', 'κατάσταση', 'χέριος', 'ινητοποιήσει', 'σάμο', 'μεταναστευτικό', 'ελέγχο']"
Σάμος: Συλλαλητήριο τη Δευτέρα για το μεταναστευτικό – προσφυγικό,"['Σάμος', 'συλλαλητήριο', 'δευτέρας', 'μεταναστευτικό', 'προσφυγικό']"
"με ίδια γλώσσα, ήθη,έθιμα και συνείδηση εθνική(π.χ ΗΠΑ)","['ίδιος', 'γλώσσος', 'ήθηέθιμος', 'συνείδηση', 'εθνικήπχ', 'ηπο']"
Συνελήφθη 19χρονος για μεταφορά προσφύγων με... jet ski στη Σύμη,"['συνελήφθη', 'χρονο', 'μεταφορά', 'προσφύγο', 'σύμη', 'πίδακας', 'δεκαεννέο']"
#ΜΕΤΑΝΑΣΤΕΥΤΙΚΟ #ΤΟΠΙΚΑ,"['μεταναστευτικο', 'τοπικα']"
[Κλικ και διαβάστε στο,"['κλικ', 'διαβάστε']"
Σάμος:  #Συλλαλητήριο για το μεταναστευτικό – Φεύγουν 700 από το νη…,"['Σάμος', 'συλλαλητήριο', 'μεταναστευτικό', 'φεύγω', 'νη', '…']"
Σάμος: Συλλαλητήριο για το μεταναστευτικό – Μεταφέρονται 700 στην ενδοχώρα,"['Σάμος', 'συλλαλητήριο', 'μεταναστευτικό', 'μεταφέρομαι', 'ενδοχώρα']"
"Μαζική συμμετοχή στο σημερινό συλλαλητήριο που διοργανώνεται στη Σάμο για το μεταναστευτικό-προσφυγικό ζήτημα, απευθύνει ο δήμαρχος ανατολικής Σάμου, Γιώργος Στάντζος.","['μαζικός', 'συμμετοχή', 'σημερινό', 'συλλαλητήριο', 'διοργανώνομαι', 'σάμο', 'μεταναστευτικόπροσφυγικό', 'ζήτημα', 'απευθύνω', 'δήμαρχος', 'ανατολικός', 'σάμος', 'γιώργο', 'στάντζος']"
@IGrigoriou @dimokratis_ Υποχρέωση εύρεσης και εφαρμογής λύσεων έχει η κυβέρνηση. Όχι οι πολίτες.,"['υποχρέωση', 'εύρεση', 'εφαρμογή', 'λύσεα', 'κυβέρνηση', 'πολίτε']"
"Πέραν τούτου, η λύση για το μεταναστευτικό είναι μία και δοκιμασμένη: πολιτική αποτροπής, ώστε να μην έρχονται στην Ελλάδα εκατοντάδες χιλιάδες λαθρομετανάστες.","['πέραν', 'λύση', 'μεταναστευτικό', 'μία', 'δοκιμασμένη', 'πολιτικός', 'αποτροπή', 'έρχομαι', 'Ελλάδα', 'εκατοντάδες', 'χιλιάδες', 'λαθρομετανάστε']"
Οι Ελληνες παίρνουν την κατάσταση στα χέρια τους: Kινητοποιήσεις στη Σάμο για το μεταναστευτικό – Εκτός ελέγχου η κατάσταση στον Έβρο…,"['ελληνα', 'παίρνω', 'κατάσταση', 'χέριος', 'ινητοποιήσει', 'σάμο', 'μεταναστευτικό', 'ελέγχο', 'κατάσταση', 'Έβρο', '…']"
Μεταναστευτικό - Σήμερα φεύγουν 700 από τη Σάμο - «Βράζει» το νησί #CreteDoc #Ειδήσεις,"['μεταναστευτικό', 'σήμερα', 'φεύγω', 'σάμο', 'βράζω', 'νησί', 'ειδήσει']"
«Ο μετανάστης » του Γιάννη Γιαννακόπουλου,"['μετανάστης', 'Γιάννη', 'Γιαννακόπουλου']"
"Το μεταναστευτικό φαινόμενο,προκλήσεις για την ΕΕ κ την Ελλάδα ΑΡΧΕΙΟ&gt;Παρέμβαση μου στην ΜΑΚΕΔΟΝΙΑ","['μεταναστευτικό', 'φαινόμενοπροκλήσει', 'κ', 'την', 'Ελλάδα', 'αρχειοgt', 'παρέμβαση', 'στην', 'μακεδονι']"
"Το μεταναστευτικό φαινόμενο,προκλήσεις για την ΕΕ κ την Ελλάδα ΑΡΧΕΙΟ>Παρέμβαση μου στην ΜΑΚΕΔΟΝΙΑ","['μεταναστευτικό', 'φαινόμενοπροκλήσει', 'κ', 'την', 'Ελλάδα', 'αρχειοπαρέμβαση', 'στην', 'μακεδονι']"
"""Το φαινόμενο θα πρέπει να αναλυθεί σε πέραν των μία διακριτών αλλά αλληλοσυνδεόμενων διαστάσεων""+""να αντιμετωπιστεί μέσα από 2 παράλληλους άξονες""","['φαινόμενο', 'πρέπει', 'αναλυθώ', 'πέραν', 'μία', 'διακριτής', 'αλληλοσυνδεόμενος', 'διαστάσεωννας', 'αντιμετωπιστώ', 'από', 'παράλληλους', 'άξονε', 'δύο']"
Περιφέρεια Αττικής: Συνάντηση Περιφερειάρχη με τον Επίτροπο Μετανάστευσης (ΦΩΤΟ) #Αθήνα #Ελλάδα #Μεταναστευτικό…,"['περιφέρεια', 'αττικός', 'συνάντηση', 'περιφερειάρχη', 'τον', 'επίτροπο', 'μετανάστευση', 'φωτο', 'Αθήνα', 'Ελλάδα', 'μεταναστευτικό', '…']"
@C_Papachaviaris @Nikolas07577310 @AnAthenianToLDN Σαν μεταναστης δεν ψηφιζω αλλα και δεν ανηκω σε κομμα. Δεν ειπα…,"['μεταναστης', 'ψηφιζω', 'αλλα', 'δεν', 'ανηκω', 'κομμος', 'ειπας', '…', 'five', 'thousand', 'ντο', 'νικόλα']"
@thalassinos2001 @Underwood_DC Άλλος ο μετανάστης κι άλλο ο λαθρομετανάστης. Ο μετανάστης συνήθως παίρνει και έκπτω…,"['άλλος', 'μετανάστης', 'ο', 'λαθρομετανάστης', 'μετανάστης', 'συνήθω', 'παίρνω', 'έκπτω', '…', 'one']"
Ακούστε σημερινή μου συνέντευξη για το μεταναστευτικό στον Δημήτρης Κολιός,"['ακούστε', 'σημερινός', 'συνέντευξη', 'μεταναστευτικό', 'δημήτρης', 'κολιός']"
στο Maximum FM της Αλεξανδρούπολης. Οι ανεξελγκτες μεταναστευτικές ροές οδηγούν τη χώρα στη #Λιβανοποίηση.,"['αλεξανδρούπολης', 'ανεξελγκτες', 'μεταναστευτικός', 'ροή', 'οδηγώ', 'χώρα', 'λιβανοποίηση', 'ανώτατος', 'όριο']"
Mην ξεχνάμε η Τουρκία πάγωσε την συμφωνία το 2018-Τσαβούσογλου: «Υπάρχει μια συμφωνία για το μεταναστευτικό με την EE και έχουμε και διμερή συμφωνία επανεισδοχής με την Ελλάδα. Έχουμε σταματήσει τη συμφωνία επανεισδοχής και θα συνεχίσουμε τη δουλειά μας απέναντι στην Ελλάδα»,"['ξεχνώ', 'Τουρκία', 'πάγωσε', 'συμφωνία', 'Τσαβούσογλου', 'υπάρχω', 'συμφωνία', 'μεταναστευτικό', 'την', 'έχω', 'διμερός', 'συμφωνία', 'επανεισδοχή', 'την', 'Ελλάδα', 'σταματήσω', 'συμφωνία', 'επανεισδοχή', 'συνεχίσω', 'δουλειώ', 'απέναντι', 'Ελλάδα', 'eighteen']"
Σύσκεψη στο δημαρχείο Αλεξάνδρειας για το μεταναστευτικό,"['σύσκεψη', 'δημαρχείο', 'αλεξάνδρεια', 'μεταναστευτικό']"
Μεταναστευτικό – προσφυγικό: Πού μεταφέρονται 700 αιτούντες άσυλο;,"['μεταναστευτικό', 'προσφυγικό', 'μεταφέρομαι', 'αιτούντες', 'άσυλο']"
"🎯Μία άλλη πολιτική ανάγνωση για όλα τα ζέοντα θέματα (Ευρώπη, Μεταναστευτικό &amp; Προσφυγικό, Τουρκική προκλητικότητα,…","['μία', 'πολιτικός', 'ανάγνωση', 'όλος', 'ζέοντος', 'θέματας', 'Ευρώπη', 'μεταναστευτικό', 'προσφυγικό', 'τουρκικός', 'προκλητικότητα', '…', 'απευθείας', 'αμπέραζ']"
Αφού στη Σάμο και στη Χίο έπαψαν να ασχολούνται με το μεταναστευτικό και πάνε σινεμά.,"['στη', 'σάμο', 'στη', 'χίο', 'έπαψαν', 'ασχολούνται', 'μεταναστευτικό', 'πάνε', 'σινεμά']"
ΕΡΩΤΩ: ΓΙΑΤΙ ΔΕΝ ΕΝΟΧΛΗΣΕ ΤΟΤΕ ΚΑΙ O ΤΙΤΑΝΙΚΟΣ ΤΟΥ ΣΙΩΝΙΣΤΗ ΚΑΜΕΡΟΝ; ΕΚΕΙ ΠΟΥ Ο ΚΑΠΙΤΑΛΙΣΜΟΣ ΠΝΙΓΕΙ ΤΑ ΜΑΤΑΙΟΔΟΞΑ ΘΥΜΑΤΑ ΤΟΥ ΚΑΙ ΤΑ ΠΛΟΥΤΗ ΤΟΥΣ ΥΠΟ ΤΟΥΣ ΗΧΟΥΣ ΚΛΑΣΣΙΚΗΣ ΜΟΥΣΙΚΗΣ ΚΑΙ ΜΟΝΟ Ο ΠΡΟΛΕΤΑΡΙΟΣ ΠΑΡΑΝΟΜΟΣ ΜΕΤΑΝΑΣΤΗΣ (ΔΙΚΑΠΡΙΟΣ) ΣΩΖΕΙ ΤΗΝ ΕΝΝΟΙΑ ΤΟΥ ΑΛΗΘΙΝΟΥ ΕΡΩΤΑ,"['ερωτω', 'γιατι', 'ενοχλησε', 'τοτε', 'τιτανικο', 'σιωνιστη', 'καμερον', 'εκει', 'καπιταλισμο', 'πνιγει', 'ματαιοδοξα', 'θυματα', 'πλουτη', 'υπο', 'ηχου', 'κλασσικης', 'μουσικης', 'και', 'μονο', 'προλεταριος', 'παρανομο', 'μεταναστη', 'δικαπριος', 'σωζει', 'εννοια', 'αληθινος', 'ερωα']"
﻿Έφοδος της αστυνομίας σε παιδότοπο μετά από καταγγελίες ότι η Ντόρα η Εξερευνήτρια είναι παράνομη μετανάστρια,"['\ufeffέφοδο', 'αστυνομία', 'παιδότοπο', 'από', 'καταγγελία', 'Ντόρα', 'εξερευνήτρια', 'παράνομη', 'μετανάστρια']"
Η πρώτη ευρωπαϊκή νίκη Μητσοτάκη: Μεταναστευτικό και τουρκικές προκλήσεις στο τραπέζι,"['πρώτη', 'ευρωπαϊκός', 'νίκη', 'μητσοτάκη', 'μεταναστευτικό', 'τουρκικός', 'προκλήσει', 'τραπέζι']"
Το μέγεθος της φοβικοτητας της εκάστοτε κυβέρνησης ΝΔ διαχρονικα φαινεται  απο το γεγονός οτι  σε τιποτένια θέματα…,"['μέγεθος', 'φοβικοτητας', 'εκάστοτε', 'κυβέρνηση', 'διαχρονικας', 'φαινομαι', 'απο', 'γεγονός', 'οτι', 'τιποτένιος', 'θέματας', '…']"
Η σοβαρότητα της κατάστασης με τις εξελίξεις στο Τούρκοκουρδικο στο Μακεδονικό αλλά και το μεταναστευτικό επιβάλλει…,"['σοβαρότητας', 'κατάσταση', 'τις', 'εξελίξει', 'τούρκοκουρδικος', 'μακεδονικό', 'και', 'μεταναστευτικό', 'επιβάλλω', '…']"
Με το μεταναστευτικό ξεκίνησε η συνεδρίαση του Περιφερειακού Συμβουλίου,"['μεταναστευτικό', 'ξεκίνησε', 'συνεδρίαση', 'περιφερειακός', 'συμβουλίο']"
Θα βρεθεί κάποιος να πάει κόντρα στο ρεύμα του λαϊκισμού για το μεταναστευτικό;,"['βρεθώ', 'πηγαίνω', 'κόντρα', 'ρεύμος', 'λαϊκισμός', 'μεταναστευτικό']"
Έφοδος της αστυνομίας σε παιδότοπο μετά από καταγγελίες ότι η Ντόρα η Εξερευνήτρια είναι παράνομη μετανάστρια…,"['έφοδος', 'αστυνομία', 'παιδότοπο', 'από', 'καταγγελία', 'Ντόρα', 'εξερευνήτρια', 'παράνομη', 'μετανάστριος', '…']"
Έφοδος της αστυνομίας σε παιδότοπο μετά από καταγγελίες ότι η Ντόρα η Εξερευνήτρια είναι παράνομη μετανάστρ…,"['έφοδος', 'αστυνομία', 'παιδότοπο', 'από', 'καταγγελία', 'Ντόρα', 'εξερευνήτρια', 'παράνομη', 'μετανάστρ', '…']"
@GKoumoutsakos @PrimeministerGR @kmitsotakis @neademokratia #ΝΔ #Μητσοτακης #μεταναστευτικο @SteliosPetsas…,"['νδ', 'μητσοτακης', 'μεταναστευτικο']"
ο #τζοκερ είναι ο φερετζές της #ΝΔ_ξεφτιλες στο #μεταναστευτικό,"['τζοκερ', 'φερετζές', 'νδξεφτιλες', 'μεταναστευτικό']"
"Τα έχουν κάνει ""θάλασσα"" στο ένα απο τα 2 θέματα π…","['έχω', 'κάνω', 'θάλασσα', 'ένα', 'απος', 'θέματας', 'δύο']"
Χρήστος Ταραντίλης: Ενότητα και στρατηγικό σχέδιο για το μεταναστευτικό,"['χρήσ', 'ταραντίλης', 'ενότητος', 'στρατηγικό', 'σχέδιο', 'μεταναστευτικό']"
Έφοδος της αστυνομίας σε παιδότοπο μετά από καταγγελίες ότι η Ντόρα η Εξερευνήτρια είναι παράνομη μετανάστρια,"['έφοδος', 'αστυνομία', 'παιδότοπο', 'από', 'καταγγελία', 'Ντόρα', 'εξερευνήτρια', 'παράνομη', 'μετανάστρια']"
Joker: Ανατρέπει τα δεδομένα η κατάθεση της υπαλλήλου του ΥΠΠΟ - «Είχα συνεννοηθεί με εισαγγελέα και την προϊσταμένη μου»,"['ανατρέπω', 'δεδομένα', 'κατάθεση', 'υπαλλήλος', 'υππο', 'συνεννοηθώ', 'εισαγγελέας', 'την', 'προϊσταμένη', 'τζόκερ']"
Πόσο παπατζιλίκι έχει πέσει με αυτή την ιστορία;;; έχουμε τόσα #μεταναστευτικό #Πρεσπες #τουρκια #οικονομία κ ασχολούμαστε μ την αυτό;,"['πόσο', 'παπατζιλίκι', 'πέσω', 'αυτή', 'ιστορία', 'τόσα', 'μεταναστευτικό', 'πρεσπα', 'τουρκια', 'οικονομία', 'ασχολούμαστε', 'αυτό']"
Από το ένα παπατζιλίκι (#ΣΥΡΙΖΑ #Τσιπρας ) στο άλλο (#ΝΔ #Μητσοτακης ). Καθώς υπάρχει σύμπλευση σε όλα τα βασικά #μεταναστευτικο #Πρεσπες #Τουρκια #οικονομια κάπως πρέπει να δείξουν στην αγέλη ότι διαφέρουν,"['παπατζιλίκι', 'συριζας', 'Τσιπρας', 'άλλο', 'μητσοτακη', 'υπάρχω', 'σύμπλευση', 'όλος', 'βασικά', 'μεταναστευτικος', 'πρεσπες', 'τουρκιο', 'οικονομια', 'πρέπει', 'δείξω', 'αγέλη', 'διαφέρω']"
"﻿Καταλαβαίνετε ότι χώρα στην οποία ο υπουργός ΠροΠο διαφημίζει την αδιαφορία του για τους νόμους κ δεν τρέχει μια, δεν είναι χώρα που έχει οποιαδήποτε προοπτική πλην της καταστροφής. Συνεχιστε να σκέφτεστε τη μετανάστευση κι όσοι είστε μακρυά ούτε που να το σκέφτεστε για επιστροφή ﻿","['\ufeffκαταλαβαίνω', 'χώρα', 'οποία', 'υπουργός', 'προπο', 'διαφημίζω', 'αδιαφορίος', 'νόμου', 'τρέχω', 'δεν', 'χώρα', 'έχω', 'προοπτική', 'της', 'καταστροφή', 'συνεχιστε', 'σκέφτομαι', 'μετανάστευση', 'είμαι', 'ούτε', 'σκέφτομαι', 'για', 'επιστροφή']"
Ειμαι βεβαιη οτι η Ελληνικη κυβερνηση δεσμευεται απο την ΕΕ στη ληψη αποφασεων και οτι τα προβληματα τωρα  ειναι κατευθυνομενα και αποτελεσμα της προηγουμενης κυβερνησης Αλλα αν δεν ληφθουν τωρα αποφασεις στο μεταναστευτικο δεν θα μπορουν να αντιστραφουν τα προβληματα,"['ειμαι', 'βεβαιη', 'οτι', 'ελληνικη', 'κυβερνηση', 'δεσμευομαι', 'απο', 'ληψη', 'αποφασεα', 'οτι', 'προβλημαα', 'τωρο', 'ειναι', 'κατευθυνομενος', 'αποτελεσμο', 'προηγουμενης', 'κυβερνηση', 'Αλλα', 'ληφθω', 'τωρος', 'αποφασει', 'μεταναστευτικο', 'δεν', 'μπορω', 'αντιστραφω', 'προβλημαα']"
"﻿@thalassinos2001 @Underwood_DC Άλλος ο μετανάστης κι άλλο ο λαθρομετανάστης. Ο μετανάστης συνήθως παίρνει και έκπτωση φόρου για Χ χρόνια γιατί είναι ""skilled immigrant"" και βοηθάει την οικονομία της χώρας που τον ζήτησε. Είναι μεγάλη βλακεία αυτό που είπατε αλλά το κοινό σας είναι αντίστοιχου επιπέδου άλλωστε.","['\ufeffthalassinos', 'άλλο', 'μετανάστης', 'ο', 'λαθρομετανάστης', 'μετανάστης', 'συνήθω', 'παίρνω', 'έκπτωση', 'φόρος', 'χρόνια', 'είναι', 'και', 'βοηθάω', 'οικονομία', 'χώρα', 'τον', 'ζήτησε', 'μεγάλη', 'βλακεία', 'που', 'λέω', 'κοινό', 'είναι', 'αντίστοιχος', 'επιπέδο', 'άλλωστε', 'one', 'θάμνος', 'δέντρα', 'έμπειρο']"
"@C_Papachaviaris @Nikolas07577310 @AnAthenianToLDN Σαν μεταναστης δεν ψηφιζω αλλα και δεν ανηκω σε κομμα. Δεν ειπα οτι η ΝΔ ψήφισε τα ορια, αλλα εσυ εισαι ενταγμενος στην ΝΔ. Τα ορια στα αλλα θεματα που ρωτας προτιμω τα 18 χρονια σε ολα, εκτος της ψηφου που επρεπε να είναι 21. Αλλα αυτα τα θεματα και αλλο το Τζοκερ.","['μεταναστης', 'ψηφιζω', 'αλλα', 'δεν', 'ανηκω', 'κομμος', 'ειπας', 'οτι', 'ψήφομαι', 'οριας', 'αλλα', 'εσυ', 'εισαι', 'ενταγμενος', 'οριας', 'αλλα', 'θεμαα', 'ρωτας', 'προτιμω', 'χρονι', 'ολα', 'εκτος', 'ψηφο', 'επρεπε', 'είναι', 'αλλα', 'αυτα', 'θεμαα', 'αλλο', 'τζοκερ', 'five', 'thousand', 'twentyone', 'ντο', 'νικόλα', 'δεκαοχτώ']"
ΤΟΥΡΚΙΚΗ ΠΡΟΠΑΓΑΝΔΑ  Αφγανός μετανάστης καταγγέλλει την Ελλάδα ότι δεν του έστρωσε κόκκινο χαλί – «Με έδειραν στα σύνορα» (ΒΙΝΤΕΟ),"['τουρκικη', 'προπαγανδας', 'αφγανός', 'μετανάστης', 'καταγγέλλω', 'Ελλάδα', 'δεν', 'έστρωσε', 'κόκκινος', 'χαλί', 'έδειραν', 'σύνορο', 'βιντεο']"
"@AmeaCare Την ευκαιρία στο μικρό θα τη δώσει ο απλός λαός, ο μεροκαματιάρης, ο μετανάστης.","['ευκαιρία', 'μικρό', 'δώσω', 'απλός', 'λαός', 'μεροκαματιάρης', 'μετανάστης']"
"﻿Αν θέλουμε να ανακυκλώσουμε τα ρούχα μας, καλό θα ήταν να τα δίνουμε σε άστεγ@ς, μετανάστ@ς, άτομα με χαμηλό εισόδημα και γενικά άτομα που το έχουν ανάγκη, και όχι σε μία πολυεθνική με μηδενικές ηθικές αξίες, που πληρώνει ψίχουλα και έχει στη δούλεψή της παιδιά.","['\ufeffαν', 'θέλω', 'ανακυκλώσω', 'ρούχος', 'καλό', 'ήταν', 'δίνω', 'άστεγς', 'μετανάστς', 'άτομο', 'χαμηλό', 'εισόδημα', 'γενικά', 'άτομο', 'ανάγκη', 'όχι', 'μία', 'πολυεθνικός', 'μηδενικός', 'ηθικός', 'αξία', 'πληρώνω', 'ψίχουλα', 'έχω', 'δούλεψή', 'παιδί']"
"Αλλαγές για προσφυγικό-μεταναστ. εν όψει ""νέου 2015"" Ερντογάν.","['αλλαγή', 'προσφυγικόμεταναστ', 'όψω', 'νέος', 'Ερντογάν', 'fifteen']"
Μοντέλο Αυστραλίας:Αποσυμφόρηση νησιών όχι στην ενδοχώρα αλλά σε αραιοκατοικημένα νησιά.,"['μοντέλος', 'αυστραλίαςαποσυμφόρηση', 'νησί', 'στην', 'ενδοχώρα', 'αραιοκατοικημένα', 'νησί']"
Μοντέλο Ισπανίας:Τα ευρω-λεφτά σε κράτος-ΤΑ όχι σε ΜΚΟ.,"['μοντέλος', 'ισπανίαςτος', 'ευρωλεφτά', 'κράτοςτος', 'μκο']"
"Μοντέλο Olaf:Ερευνα για σίτιση, υποδομή.Αλλαγή διαδικασίας&amp;προμηθευτών.","['μοντέλος', 'ερευνος', 'σίτιση', 'υποδομήαλλαγή', 'διαδικασίαςamp', 'προμηθευτής']"
"Ελεύθερη μετακίνηση, χαρτιά, στέγη, δουλειά, παιδεία και φροντίδα υγείας για όλους και όλες τους πρόσφυγες και μετανάστ(ρι)ες","['ελεύθερη', 'μετακίνηση', 'χαρτί', 'στέγη', 'δουλειά', 'παιδείος', 'φροντίδα', 'υγεία', 'όλους', 'όλες', 'πρόσφυγες', 'μετανάστρια']"
@atsipras Με Κυβ π έχει εμπειρία κ πείρα χρόνων κ στελεχη αριστ διπλωμάτες γλωσσομαθεις μορφωμένους μ ΜαργΣχοινα Ευρ Επίτροπο δν έχουμε καμία ανησ Ανησυχία άγχος κ προβληματισμό είχαμ με τν Αριστ ιδεολογ π πρεσβευεις κ τα στελεχη σ όπως τ ΚαμμενοΑμυναςΚοτζια Εξωτερικ Χριστοδουλοπ Μεταναστ,"['κυβ', 'εμπειρία', 'πείρα', 'χρόνα', 'στελεχη', 'αριστ', 'διπλωμάτες', 'γλωσσομαθει', 'μορφωμένου', 'μαργσχοινα', 'ευρ', 'επίτροπο', 'καμία', 'ανησ', 'ανησυχίας', 'άγχος', 'προβληματισμό', 'είχαμ', 'Αριστ', 'ιδεολογ', 'πρεσβευει', 'στελεχη', 'τ', 'ΚαμμενοΑμυναςΚοτζια', 'Εξωτερικ', 'Χριστοδουλοπ', 'μεταναστ']"
"Πυρκαγιά σε camp μεταναστ(ρι)ων στην Σαμο πριν δυο ωρες, τα καθεστωτικα λενε (με καθε επιφυλαξη τολεω) οτι προηρθε απο συμπλοκη μεταξυ των κατοικων τους, αλλα ετσι ειχαν πει και για την δολοφονικη φωτια στην Μορια...","['πυρκαγιά', 'μεταναστριος', 'Σαμο', 'δυο', 'ωρες', 'καθεστωτικο', 'λενε', 'καθε', 'επιφυλαξη', 'τολεω', 'οτι', 'προηρθε', 'απο', 'συμπλοκη', 'μεταξυ', 'κατοικο', 'αλλα', 'ετσι', 'ειχαν', 'λέω', 'για', 'δολοφονικη', 'φωτι', 'μοριος', 'κατασκήνωση']"
@lfouli Κάθε φορά που πέφτω στη παγίδα να μιλάω για το προσφυγ - μεταναστ. διαπιστώνω ότι ξεχνάτε τις διεθνείς συνθήκες - συμφωνίες που δεσμεύουν τη χώρα. Μου θυμίζετε τους ΟΧΙδες που θα παρακαλούσε η Μέρκελ να μας δανείσει.,"['φορά', 'πέφτω', 'παγίδα', 'μιλάω', 'προσφυγ', 'μεταναστ', 'διαπιστώνω', 'ξεχνώ', 'διεθνείς', 'συνθήκα', 'συμφωνία', 'δεσμεύω', 'χώρα', 'θυμίζω', 'οχιδα', 'παρακαλώ', 'μέρκελ', 'μας', 'δανείσω']"
Σ ανακοίν που εξέδωσε η Κουμουνδ αναφέρει ότι Η επιστολ τ ΟΝΝΕΔ Πεντέλης προς τ υπ Προστ τ Πολίτη μ αφορμή τ σχεδιασμ γ παραχώρηση πτέρυγ του νοσοκ Αμ Φλέμινγκ γ τ στέγαση μεταναστ αποτελεί πιστό αντίγρ τ εκστρατειών μίσους π είχε οργανώσει η ΧΑ γ αίμα κ τρόφιμα μόνο γ Έλληνες.,"['ανακοίν', 'εξέδωσε', 'κουμουνδ', 'αναφέρω', 'επιστολ', 'οννεδ', 'Πεντέλης', 'Προστ', 'Πολίτη', 'αφορμή', 'σχεδιασμ', 'παραχώρηση', 'πτέρυγ', 'νοσοκ', 'Φλέμινγκ', 'στέγαση', 'μεταναστ', 'αποτελώ', 'πιστό', 'αντίγρ', 'τ', 'εκστρατεία', 'μίσου', 'οργανώσω', 'αίμα', 'τρόφιμα', 'γ', 'Έλληνες']"
