Tweet,Greek_Words,Lemmatized_Tokens
"Στο EK: ""Καταψηφίζω τη νέα Κομισιόν γιατί oι στόχοι της είναι ανέφικτο να επιτευχθούν με προϋπολογισμό στο 1% του ΑΕΠ της ΕΕ, γιατί διαφωνώ με τις περικοπές σε ΚΑΠ &amp; Συνοχή, γιατί θεωρώ ντροπή η ΕΕ να έχει παραλύσει στο προσφυγικό κ η Κομισιόν να είναι όμηρος των Ορμπαν-Σαλβίνι"".",Καταψηφίζω νέα Κομισιόν στόχοι είναι ανέφικτο επιτευχθούν προϋπολογισμό 1 ΑΕΠ διαφωνώ τις περικοπές ΚΑΠ Συνοχή θεωρώ ντροπή έχει παραλύσει προσφυγικό Κομισιόν είναι όμηρος ΟρμπανΣαλβίνι,"['καταψηφίζω', 'νέος', 'κομισιόν', 'στόχοι', 'είναι', 'ανέφικτος', 'επιτευχθώ', 'προϋπολογισμό', '1', 'αεπ', 'διαφωνώ', 'τις', 'περικοπή', 'καπ', 'συνοχή', 'θεωρώ', 'ντροπή', 'έχω', 'παραλύσω', 'προσφυγικό', 'κομισιόν', 'είναι', 'όμηρος', 'ορμπανσαλβίνι']"
"RT @papadimoulis: Στο EK: ""Καταψηφίζω τη νέα Κομισιόν γιατί oι στόχοι της είναι ανέφικτο να επιτευχθούν με προϋπολογισμό στο 1% του ΑΕΠ της…",Στο Καταψηφίζω νέα Κομισιόν στόχοι είναι ανέφικτο επιτευχθούν προϋπολογισμό 1 ΑΕΠ της…,"['στο', 'καταψηφίζω', 'νέος', 'κομισιόν', 'στόχοι', 'είναι', 'ανέφικτος', 'επιτευχθώ', 'προϋπολογισμό', '1', 'αεπ', 'της', '…']"
Πρόσφυγας από την Μπουρκίνα Φασο.,Πρόσφυγας την Μπουρκίνα Φασο,"['πρόσφυγας', 'την', 'μπουρκίνος', 'φασο']"
Φαντάζομαι δεν ξερεις που είναι.,Φαντάζομαι ξερεις είναι,"['φαντάζομαι', 'ξερει', 'είναι']"
"""το κοριτσάκι που ανέλαβε συντονιστής για τα ασυνόδευτα προσφυγόπουλα"", ""ανικανοποίητες επιθυμιες"" - Αυτό προφανώς δεν είναι σεξιστική επίθεση, μην τρελαθούμε κιόλας, δεν την είπε βουλευτή αντί για βουλεύτρια ή κάτι τόσο βαρύ...",κοριτσάκι ανέλαβε συντονιστής ασυνόδευτα προσφυγόπουλα ανικανοποίητες επιθυμιες προφανώς είναι σεξιστική επίθεση τρελαθούμε δεν είπε βουλευτή για βουλεύτρια τόσο βαρύ,"['κοριτσάκι', 'ανέλαβε', 'συντονιστή', 'ασυνόδευτα', 'προσφυγόπουλα', 'ανικανοποίητα', 'επιθυμιες', 'προφανώς', 'είναι', 'σεξιστικός', 'επίθεση', 'τρελαθούμε', 'δεν', 'λέω', 'βουλευτή', 'για', 'βουλεύτριος', 'τόσο', 'βαρύ']"
"RT @CostasPap: ""το κοριτσάκι που ανέλαβε συντονιστής για τα ασυνόδευτα προσφυγόπουλα"", ""ανικανοποίητες επιθυμιες"" - Αυτό προφανώς δεν είναι…",κοριτσάκι ανέλαβε συντονιστής ασυνόδευτα προσφυγόπουλα ανικανοποίητες επιθυμιες προφανώς είναι…,"['κοριτσάκι', 'ανέλαβε', 'συντονιστή', 'ασυνόδευτα', 'προσφυγόπουλα', 'ανικανοποίητα', 'επιθυμιες', 'προφανώς', 'είναι', '…']"
Ο Κούλης συνάντησε τον Ερντογάν στον ΟΗΕ. Αποτέλεσμα: αύξηση των μεταναστευτικών ροών από Τουρκία..,Κούλης συνάντησε Ερντογάν ΟΗΕ Αποτέλεσμα αύξηση μεταναστευτικών ροών Τουρκία,"['κούλης', 'συνάντησε', 'ερντογάν', 'οηε', 'Αποτέλεσμα', 'αύξηση', 'μεταναστευτικός', 'ροή', 'Τουρκία']"
Ο Κούλης στο συνέδριο του ΕΛΚ ζήτησε να δεχθούν ασυνόδευτα παιδιά. Αποτέλεσμα: αρνήθηκαν και αυτός διόρισε άσχετους σφουγγοκωλαριους Αγαπηδάκη Δοξιάδη..,Κούλης συνέδριο ΕΛΚ ζήτησε δεχθούν ασυνόδευτα παιδιά Αποτέλεσμα αρνήθηκαν αυτός διόρισε άσχετους σφουγγοκωλαριους Αγαπηδάκη Δοξιάδη,"['κούλης', 'συνέδριο', 'ελκ', 'ζήτησε', 'δεχθώ', 'ασυνόδευτα', 'παιδιά', 'αποτέλεσμα', 'αρνήθηκαν', 'αυτός', 'διόρομαι', 'άσχετους', 'σφουγγοκωλαριου', 'αγαπηδάκη', 'δοξιάδη']"
RT @HoboSapios: Ο Κούλης συνάντησε τον Ερντογάν στον ΟΗΕ. Αποτέλεσμα: αύξηση των μεταναστευτικών ροών από Τουρκία..,Κούλης συνάντησε Ερντογάν ΟΗΕ Αποτέλεσμα αύξηση μεταναστευτικών ροών Τουρκία,"['κούλης', 'συνάντησε', 'ερντογάν', 'οηε', 'Αποτέλεσμα', 'αύξηση', 'μεταναστευτικός', 'ροή', 'Τουρκία']"
Ο Κούλης στο συνέδριο τ…,Κούλης συνέδριο,"['κούλης', 'συνέδριο']"
"Εντάξει, μας ζάλισε ο Μητσοτάκης με τα ""ανήλικα ασυνόδευτα"" μπας και συγκινηθεί το πόπολο και ξεχάσει ότι τα έκανε μούσκεμα με το μεταναστευτικό ζήτημα. Κάποιοι τσιμπάνε και νομίζουν ότι μιλάμε για μωρά και ζητάνε να τα υιοθετήσουν κιόλας.",Εντάξει ζάλισε Μητσοτάκης ανήλικα ασυνόδευτα μπας συγκινηθεί πόπολο ξεχάσει μούσκεμα μεταναστευτικό ζήτημα τσιμπάνε νομίζουν μιλάμε μωρά ζητάνε υιοθετήσουν,"['εντάξω', 'ζάλισε', 'μητσοτάκης', 'ανήλικο', 'ασυνόδευτα', 'μπα', 'συγκινηθώ', 'πόπολο', 'ξεχάσω', 'μούσκεμα', 'μεταναστευτικό', 'ζήτημα', 'τσιμπάνε', 'νομίζω', 'μιλάμε', 'μωρώ', 'ζητάνε', 'υιοθετήσω']"
"RT @alexsgouros3: Εντάξει, μας ζάλισε ο Μητσοτάκης με τα ""ανήλικα ασυνόδευτα"" μπας και συγκινηθεί το πόπολο και ξεχάσει ότι τα έκανε μούσκε…",3 Εντάξει ζάλισε Μητσοτάκης ανήλικα ασυνόδευτα μπας συγκινηθεί πόπολο ξεχάσει μούσκε…,"['3', 'εντάξει', 'ζάλισε', 'μητσοτάκης', 'ανήλικο', 'ασυνόδευτα', 'μπα', 'συγκινηθώ', 'πόπολο', 'ξεχάσω', 'μούσκε', '…']"
"Βγαίνει ο άλλος, κάτοικος Σκύδρας, στην εκπομπή του Παπαδάκη",Βγαίνει άλλος κάτοικος Σκύδρας εκπομπή Παπαδάκη,"['βγαίνω', 'άλλος', 'κάτοικος', 'σκύδρα', 'εκπομπή', 'παπαδάκη']"
"Και λέει ανοιχτά ότι σε περίπτωση που μετανάστης παρανομήσει, ότι είδους παρανομία και αν είναι αυτή. Θα βγάλουν τα όπλα.",λέει ανοιχτά περίπτωση μετανάστης παρανομήσει είδους παρανομία αυτή βγάλουν όπλα,"['λέω', 'ανοιχτά', 'περίπτωση', 'μετανάστης', 'παρανομήσω', 'είδου', 'παρανομίο', 'αυτή', 'βγάλω', 'όπλο']"
"RT @DelgadoSero: Βγαίνει ο άλλος, κάτοικος Σκύδρας, στην εκπομπή του Παπαδάκη",Βγαίνει άλλος κάτοικος Σκύδρας εκπομπή Παπαδάκη,"['βγαίνω', 'άλλος', 'κάτοικος', 'σκύδρα', 'εκπομπή', 'παπαδάκη']"
Και λέει ανοιχτά ότι σε περίπτωση που μετανάστης παρανομήσει…,λέει ανοιχτά περίπτωση μετανάστης παρανομήσει…,"['λέω', 'ανοιχτά', 'περίπτωση', 'μετανάστης', 'παρανομήσω', '…']"
«Σας παρακαλώ ανοίξτε τα σύνορά σας να κάνετε και εσείς την χώρα σας ισλαμικό μπουρδέλο όπως κάνω την δικιά μου» είναι καλή ατάκα για πέσιμο?,«Σας παρακαλώ ανοίξτε σύνορά κάνετε εσείς χώρα ισλαμικό μπουρδέλο κάνω δικιά μου» καλή ατάκα πέσιμο,"['«', 'σας', 'παρακαλώ', 'ανοίξτε', 'σύνορά', 'κάνω', 'εσείς', 'χώρα', 'ισλαμικό', 'μπουρδέλο', 'κάνω', 'δικί', 'μου', '»', 'καλός', 'ατάκος', 'πέσιμο']"
RT @tolisv: «Σας παρακαλώ ανοίξτε τα σύνορά σας να κάνετε και εσείς την χώρα σας ισλαμικό μπουρδέλο όπως κάνω την δικιά μου» είναι καλή ατά…,«Σας παρακαλώ ανοίξτε σύνορά κάνετε εσείς χώρα ισλαμικό μπουρδέλο κάνω δικιά μου» καλή ατά…,"['«', 'σας', 'παρακαλώ', 'ανοίξτε', 'σύνορά', 'κάνω', 'εσείς', 'χώρα', 'ισλαμικό', 'μπουρδέλο', 'κάνω', 'δικί', 'μου', '»', 'καλός', 'ατά', '…']"
"Συνάντηση Αλ.Τσίπρα - Φρ. Ολάντ για το μέλλον της Ευρωζώνης, το προσφυγικό και τις εξελίξεις στα Βαλκάνια",Συνάντηση ΑλΤσίπρα Ολάντ μέλλον Ευρωζώνης προσφυγικό τις εξελίξεις Βαλκάνια,"['συνάντηση', 'αλτσίπρος', 'Ολάντ', 'μέλλον', 'ευρωζώνης', 'προσφυγικό', 'τις', 'εξελίξει', 'βαλκάνιο']"
μέσω του χρήστη @avgionline,του χρήστη,"['του', 'χρήστη']"
"RT @AvgiOnline: Συνάντηση Αλ.Τσίπρα - Φρ. Ολάντ για το μέλλον της Ευρωζώνης, το προσφυγικό και τις εξελίξεις στα Βαλκάνια",Συνάντηση ΑλΤσίπρα Ολάντ μέλλον Ευρωζώνης προσφυγικό τις εξελίξεις Βαλκάνια,"['συνάντηση', 'αλτσίπρος', 'Ολάντ', 'μέλλον', 'ευρωζώνης', 'προσφυγικό', 'τις', 'εξελίξει', 'βαλκάνιο']"
"Βαρβιτσιώτης στον Realfm 97,8: Θα είναι λάθος να ‘τσιμπάμε’ στη λογική του να διμεροποιήσουμε το προσφυγικό - Είναι θέμα ευρωτουρκικό",Βαρβιτσιώτης 978 είναι λάθος ‘τσιμπάμε’ λογική διμεροποιήσουμε προσφυγικό θέμα ευρωτουρκικό,"['βαρβιτσιώτης', '978', 'είναι', 'λάθος', ""'"", 'τσιμπώ', '’', 'λογικός', 'διμεροποιήσω', 'προσφυγικό', 'θέμα', 'ευρωτουρκικό']"
