Tweet,Greek_Words,Lemmatized_Tokens
"@y5ePHJwvfc2d34V @vozemberg λύση,μοναδική!!!!!!,Αλεξαντρε,ειναι η εξης:κάθε αλλοδαπος(φυσικα:κ πρόσφυγας,κ όχι προσφυγας),μόλις αγγίξει!!! τα συνορα,στη θάλασσα ή στην ξηρά,να διωχνεται αμέσως,και με το χειροτερο τροπο.όποιος αλλοδαπος επιμενει:να πυροβολείται αμέσως.Όλα τα άλλα:ειναι αριστερα,κ κεντρωα παρ",2 vozemberg λύσημοναδικήΑλεξαντρεειναι εξηςκάθε αλλοδαποςφυσικακ πρόσφυγαςκ προσφυγαςμόλις αγγίξει συνοραστη θάλασσα ξηράνα διωχνεται αμέσωςκαι χειροτερο τροποόποιος αλλοδαπος επιμενεινα πυροβολείται αμέσωςΌλα άλλαειναι αριστερακ κεντρωα παρ,"['2', 'vozemberg', 'λύσημοναδικήαλεξαντρεειναι', 'εξηςκάθε', 'αλλοδαποςφυσικακ', 'πρόσφυγαςκ', 'προσφυγαςμόλις', 'αγγίξω', 'συνοραστη', 'θάλασσα', 'ξηράνας', 'διωχνομαι', 'αμέσωςκαι', 'χειροτερος', 'τροποόποιος', 'αλλοδαπο', 'επιμενεινος', 'πυροβολείται', 'αμέσωςόλας', 'άλλαειναι', 'αριστερακ', 'κεντρωο', 'παρ']"
Πρόσφυγας από τη Λιβύη: «Θα προτιμούσα να πεθάνω στη θάλασσα παρά να επιστρέψω πίσω»,Πρόσφυγας Λιβύη «Θα προτιμούσα πεθάνω θάλασσα επιστρέψω πίσω»,"['πρόσφυγας', 'Λιβύη', '«', 'θα', 'προτιμώ', 'πεθάνω', 'θάλασσος', 'επιστρέψω', 'πίσω', '»']"
Νεκρός 35χρονος πρόσφυγας στη Μόρια,Νεκρός χρονος πρόσφυγας Μόρια,"['νεκρός', 'χρονο', 'πρόσφυγας', 'μόριο']"
Ο Ελληναρας θα πάρει την καραμπίνα να αυτοδικησει αν πρόσφυγας κάνει κάποια παρανομία.,Ελληναρας πάρει καραμπίνα αυτοδικησει πρόσφυγας κάνει παρανομία,"['ελληναρα', 'πάρω', 'καραμπίνα', 'αυτοδικησω', 'πρόσφυγας', 'κάνω', 'παρανομίο']"
Αν την παρανομία την κάνει ελληνας δεν πειράζει.Ο ελληνας είναι ελληνας.,παρανομία την κάνει ελληνας πειράζειΟ ελληνας ελληνας,"['παρανομία', 'την', 'κάνω', 'ελληνα', 'πειράζειο', 'ελληνα', 'ελληνα']"
Μιλάμε για στουπετσι στο μυαλό,Μιλάμε στουπετσι μυαλό,"['μιλώ', 'στουπετσι', 'μυαλό']"
8b8QW0L6C,8 6,"['8', '6']"
Nεκρός από ανακοπή καρδιάς 35χρόνος πρόσφυγας στη Μόρια,Nεκρός ανακοπή καρδιάς χρόνος πρόσφυγας Μόρια,"['nεκρός', 'ανακοπή', 'καρδιάς', 'χρόνος', 'πρόσφυγας', 'μόριο']"
Ελλ. Λύση: Ο κ. Μητσοτάκης στρουθοκαμηλίζει για το μεταναστευτικό,Ελλ Λύση Μητσοτάκης στρουθοκαμηλίζει μεταναστευτικό,"['ελλ', 'λύση', 'μητσοτάκη', 'στρουθοκαμηλίζω', 'μεταναστευτικό']"
@PrimeministerGR Tο ερώτημα προς την ελληνική κυβέρνηση Μητσοτάκη είναι λογικό και εύλογο! Γιατί δεν υλοποιεί την πολιτική στο “μεταναστευτικό” άλλων ευρωπαϊκών κρατών; Γιατί δημιουργεί κατάλληλες συνθήκες για να αυξάνονται καθημερινά οι  ροές παράνομων εισερχομένων στην Πατρίδα μας;,ερώτημα ελληνική κυβέρνηση Μητσοτάκη λογικό εύλογο δεν υλοποιεί την πολιτική “μεταναστευτικό” ευρωπαϊκών κρατών δημιουργεί κατάλληλες συνθήκες αυξάνονται καθημερινά ροές παράνομων εισερχομένων Πατρίδα,"['ερώτημα', 'ελληνικός', 'κυβέρνηση', 'μητσοτάκη', 'λογικό', 'εύλογο', 'δεν', 'υλοποιώ', 'την', 'πολιτική', '""', 'μεταναστευτικό', '”', 'ευρωπαϊκός', 'κρατής', 'δημιουργώ', 'κατάλληλες', 'συνθήκα', 'αυξάνομαι', 'καθημερινά', 'ροός', 'παράνομα', 'εισερχομένος', 'πατρίδο']"
Ο Δήμαρχος Αγρινίου για το μεταναστευτικό: Mας θυμούνται όταν θέλουν να λύσουν ένα πρόβλημα -,Δήμαρχος Αγρινίου μεταναστευτικό Mας θυμούνται θέλουν λύσουν πρόβλημα,"['δήμαρχος', 'Αγρινίου', 'μεταναστευτικό', 'mας', 'θυμούνται', 'θέλω', 'λύσω', 'πρόβλημα']"
Μεταναστευτικό: Η κατάρρευση της Σουηδίας...,Μεταναστευτικό κατάρρευση Σουηδίας,"['μεταναστευτικό', 'κατάρρευση', 'σουηδία']"
Δυνατός Τιερί Μποντέ για τις ρατσιστικές επιθέσεις μουσουλμάνων κατά λευκών Ολλανδών. Το κόμμα του είναι ήδη τρίτο στις δημοσκοπήσεις κ μετά το οικονομικό κ μεταναστευτικό κραχ που έρχεται (2020?) ίσως είναι κ ο επόμενος πρωθυπουργός της Ολλανδίας. ΘΑΡΣΕΙΝ ΧΡΗ - Να έχετε Θαρρος!,Δυνατός Τιερί Μποντέ τις ρατσιστικές επιθέσεις μουσουλμάνων λευκών Ολλανδών κόμμα τρίτο δημοσκοπήσεις το οικονομικό μεταναστευτικό κραχ έρχεται ίσως είναι επόμενος πρωθυπουργός Ολλανδίας ΘΑΡΣΕΙΝ ΧΡΗ έχετε Θαρρος,"['δυνατός', 'τιερί', 'Μποντέ', 'τις', 'ρατσιστικός', 'επιθέσει', 'μουσουλμάνος', 'λευκός', 'Ολλανδών', 'κόμμα', 'τρίτο', 'δημοσκοπήσει', 'το', 'οικονομικό', 'μεταναστευτικό', 'κραχ', 'έρχομαι', 'ίσως', 'είναι', 'επόμενος', 'πρωθυπουργός', 'Ολλανδίας', 'θαρσειν', 'χρη', 'έχω', 'θαρρος']"
Εξέγερση δημάρχων της ΝΔ κατά της κυβέρνησης για αθέτηση προεκλογικών υποσχέσεων στο «μεταναστευτικό»: «Είπατε ψέματα»,Εξέγερση δημάρχων της κυβέρνησης αθέτηση προεκλογικών υποσχέσεων «μεταναστευτικό» «Είπατε ψέματα»,"['εξέγερση', 'δημάρχο', 'της', 'κυβέρνηση', 'αθέτηση', 'προεκλογικός', 'υποσχέσεο', '«', 'μεταναστευτικό', '»', '«', 'λέω', 'ψέματας', '»']"
"Διλήμματα, όπως ""τήρηση του Διεθνούς Δικαίου ή εθνική επιβίωση"", δεν πρέπει να τίθενται καν. Η Ελλάδα δεν χρειάζεται,ούτε πρέπει, να επιλέξει ανάμεσα στα δύο. Λύσεις για το Μεταναστευτικό υπάρχουν και είναι πιο απλές από ό,τι νομίζουμε. Αρκεί να ενεργήσουμε.",Διλήμματα τήρηση Διεθνούς Δικαίου εθνική επιβίωση τίθενται καν Ελλάδα χρειάζεταιούτε πρέπει επιλέξει στα δύο Λύσεις Μεταναστευτικό υπάρχουν είναι απλές ότι νομίζουμε Αρκεί ενεργήσουμε,"['διλήμματο', 'τήρηση', 'διεθνούς', 'δικαίο', 'εθνικός', 'επιβίωση', 'τίθενται', 'καν', 'Ελλάδα', 'χρειάζεταιούτε', 'πρέπει', 'επιλέξω', 'στα', 'δύο', 'λύσει', 'μεταναστευτικό', 'υπάρχω', 'είναι', 'απλός', 'ότι', 'νομίζω', 'αρκεί', 'ενεργήσω']"
"Παναιγαιακή συγκέντρωση για προσφυγικό- μεταναστευτικό, κάλεσμα φορέων Χίου",Παναιγαιακή συγκέντρωση προσφυγικό μεταναστευτικό κάλεσμα φορέων Χίου,"['παναιγαιακός', 'συγκέντρωση', 'προσφυγικό', 'μεταναστευτικό', 'κάλεσμα', 'φορέος', 'χίο']"
Κ. Μητσοτάκης στην Corriere Della Sera για τη στάση της Ευρώπης στο μεταναστευτικό: Μην κρύβει το κεφάλι της στην άμμο,Μητσοτάκης Della στάση Ευρώπης μεταναστευτικό κρύβει κεφάλι στην άμμο,"['μητσοτάκη', 'della', 'στάση', 'Ευρώπης', 'μεταναστευτικό', 'κρύβει', 'κεφάλι', 'στην', 'άμμο']"
«Είπατε ψέμματα...» Εξέγερση δημάρχων προσκείμενων στη ΝΔ κατά της κυβέρνησης για αθέτηση προεκλογικών υποσχέσεων στο «μεταναστευτικό»,«Είπατε ψέμματα» Εξέγερση δημάρχων προσκείμενων της κυβέρνησης αθέτηση προεκλογικών υποσχέσεων «μεταναστευτικό»,"['«', 'λέω', 'ψέμμαα', '»', 'εξέγερση', 'δημάρχο', 'προσκείμενα', 'της', 'κυβέρνηση', 'αθέτηση', 'προεκλογικός', 'υποσχέσεο', '«', 'μεταναστευτικό', '»']"
"Η δήλωση του Κωστίδη @manoliskostidis σχετικά με την υπεροχή του Διεθνούς Δικαίου έναντι του Εθνικού δεν πρέπει ουδαμώς να εκπλήσσει. Αυτή την αντίληψη ασπάζεται εν συνόλω η ελληνική ελίτ, εξ ου και οι αποφάσεις του σε #μεταναστευτικο , #μακεδονικο κλπ",δήλωση Κωστίδη σχετικά την υπεροχή Διεθνούς Δικαίου έναντι Εθνικού πρέπει ουδαμώς εκπλήσσει την αντίληψη ασπάζεται συνόλω ελληνική ελίτ οι αποφάσεις μεταναστευτικο μακεδονικο,"['δήλωση', 'Κωστίδη', 'σχετικά', 'την', 'υπεροχή', 'διεθνούς', 'δικαίο', 'έναντι', 'εθνικός', 'πρέπει', 'ουδαμώ', 'εκπλήσσω', 'την', 'αντίληψη', 'ασπάζομαι', 'συνόλω', 'ελληνικός', 'ελίτ', 'οι', 'αποφάσει', 'μεταναστευτικο', 'μακεδονικο']"
Το απόλυτο #Darwin_Award να είσαι αλληλέγγυα,απόλυτο αλληλέγγυα,"['απόλυτος', 'αλληλέγγυο']"
Παντού αχαριστία ! #μεταναστευτικο #νδ_no_borders #ΝΔ_ξεφτίλες,αχαριστία μεταναστευτικο νδno ΝΔξεφτίλες,"['αχαριστία', 'μεταναστευτικος', 'νδno', 'νδξεφτίλες']"
Το μεταναστευτικό καθορίζει την μελλοντική πορεία μας,μεταναστευτικό καθορίζει μελλοντική πορεία,"['μεταναστευτικό', 'καθορίζω', 'μελλοντικός', 'πορεία']"
EtoMDn9nM,,[]
"@machiavelli_gr @john_wayne_gr Παρατηρείστε πόσο ΚΑΘΟΛΟΥ τυχαία η ορολογία: Η γραμμή για το ""παράτυπος μετανάστης"" (irregular) παρά ""λαθρομετανάστης"" (illegal) είναι κοινή συνισταμένη. Πληρώνει καλά ο μπαρμπά-Σώρος προφανώς τα media παγκοσμίως...",Παρατηρείστε πόσο ΚΑΘΟΛΟΥ τυχαία ορολογία γραμμή παράτυπος μετανάστης λαθρομετανάστης κοινή συνισταμένη Πληρώνει μπαρμπάΣώρος προφανώς παγκοσμίως,"['παρατηρείστε', 'πόσο', 'καθολου', 'τυχαίος', 'ορολογία', 'γραμμή', 'παράτυπο', 'μετανάστης', 'λαθρομετανάστης', 'κοινός', 'συνισταμένη', 'πληρώνω', 'μπαρμπάσώρος', 'προφανώς', 'παγκοσμίως']"
"@LiberalGr @thmavridis Όχι κύριε Μαυρίδη, ο λαθρομετανάστης, ο άνθρωπος που παραβιάζει τα σύνορα μιας εθνικά κυρίαρχης χώρας αυτή τη στιγμή δεν απολαμβάνει τα ίδια δικαιώματα με τον άστεγο ή χρεωκοπημένο Έλληνα. Απολαμβάνει πολύ περισσότερα, εντάξει? Ο Μπογδάνος αυτό το δρόμο δεν το πάει μόνος.",Όχι κύριε Μαυρίδη λαθρομετανάστης άνθρωπος παραβιάζει σύνορα εθνικά κυρίαρχης χώρας στιγμή απολαμβάνει ίδια δικαιώματα τον άστεγο χρεωκοπημένο Έλληνα Απολαμβάνει περισσότερα εντάξει Μπογδάνος δρόμο πάει,"['όχι', 'κύριε', 'Μαυρίδη', 'λαθρομετανάστης', 'άνθρωπος', 'παραβιάζω', 'σύνορο', 'εθνικά', 'κυρίαρχης', 'χώρα', 'στιγμή', 'απολαμβάνω', 'ίδιος', 'δικαιώμαα', 'τον', 'άστεγος', 'χρεωκοπημένος', 'έλληνας', 'απολαμβάνω', 'περισσότερος', 'εντάξει', 'μπογδάνο', 'δρόμο', 'πηγαίνω']"
"@thmavridis Οχι κύριε Μαυρίδη, ο λαθρομετανάστης, ο άνθρωπος που παραβιάζει τα σύνορα μιας εθνικά κυρίαρχης χώρας αυτή τη στιγμή δεν απολαμβάνει τα ίδια δικαιώματα με τον άστεγο ή χρεωκοπημένο Έλληνα. Απολαμβάνει πολύ περισσότερα, εντάξει? Ο Μπογδάνος αυτό το δρόμο δεν το πάει μόνος.",Οχι κύριε Μαυρίδη λαθρομετανάστης άνθρωπος παραβιάζει σύνορα εθνικά κυρίαρχης χώρας στιγμή απολαμβάνει ίδια δικαιώματα τον άστεγο χρεωκοπημένο Έλληνα Απολαμβάνει περισσότερα εντάξει Μπογδάνος δρόμο πάει,"['οχι', 'κύριε', 'Μαυρίδη', 'λαθρομετανάστης', 'άνθρωπος', 'παραβιάζω', 'σύνορο', 'εθνικά', 'κυρίαρχης', 'χώρα', 'στιγμή', 'απολαμβάνω', 'ίδιος', 'δικαιώμαα', 'τον', 'άστεγος', 'χρεωκοπημένος', 'έλληνας', 'απολαμβάνω', 'περισσότερος', 'εντάξει', 'μπογδάνο', 'δρόμο', 'πηγαίνω']"
Εμ δεν είναι λαθρομετανάστης για να λάβει ανθρωπιστική βοήθεια.,είναι λαθρομετανάστης λάβει ανθρωπιστική βοήθεια,"['είναι', 'λαθρομετανάστης', 'λάβω', 'ανθρωπιστικός', 'βοήθειο']"
ζει σε καλύβα με χώμα και άχυρα,ζει καλύβα χώμα άχυρα,"['ζω', 'καλύβος', 'χώμα', 'άχυρο']"
γιατί δεν μπορεί να πάρει σύνταξη.,δεν πάρει σύνταξη,"['δεν', 'πάρω', 'σύνταξη']"
@man_of_mayhemgr @hainis82 Μάλιστα...Ένας επικίνδυνος λαθρομετανάστης λοιπόν...,hainis ΜάλισταΈνας επικίνδυνος λαθρομετανάστης,"['hainis', 'μάλισταένας', 'επικίνδυνος', 'λαθρομετανάστης']"
Φλώρινα: 80χρονος άντρας ζει σε καλύβα από χώμα και άχυρα γιατί δεν μπορεί να πάρει σύνταξη.,Φλώρινα χρονος άντρας ζει καλύβα χώμα άχυρα δεν πάρει σύνταξη,"['φλώρινος', 'χρονος', 'άντρας', 'ζω', 'καλύβος', 'χώμα', 'άχυρο', 'δεν', 'πάρω', 'σύνταξη']"
ΑΝ ήταν λαθρομετανάστης όμως. Θα είχε ΤΑ ΠΑΝΤΑ ΟΛΑ  ΒΙΝΤΕΟ,ήταν λαθρομετανάστης ΤΑ ΠΑΝΤΑ ΟΛΑ ΒΙΝΤΕΟ,"['ήταν', 'λαθρομετανάστης', 'τα', 'παντας', 'ολο', 'βιντεο']"
ΟΤΑΝ ΑΠΑΓΟΡΕΥΟΥΝ ΛΕΞΕΙΣ ΔΕΝ ΥΠΑΡΧΕΙ ΕΛΕΥΘΕΡΙΑ!,ΟΤΑΝ ΑΠΑΓΟΡΕΥΟΥΝ ΛΕΞΕΙΣ ΥΠΑΡΧΕΙ ΕΛΕΥΘΕΡΙΑ,"['οταν', 'απαγορευουν', 'λεξει', 'υπαρχει', 'ελευθερι']"
"Από τις αρχές Δεκεμβρίου όποιος τολμά να γράφει στο προσωπικό του προφίλ την λέξη λαθρομετανάστης, αμέσως αυτό θα πέφτει! Κατά τα άλλα έχουμε ελευθερία!",τις αρχές Δεκεμβρίου τολμά γράφει προσωπικό προφίλ λέξη λαθρομετανάστης αυτό πέφτει έχουμε ελευθερία,"['τις', 'αρχές', 'Δεκεμβρίου', 'τολμά', 'γράφει', 'προσωπικό', 'προφίλ', 'λέξη', 'λαθρομετανάστης', 'αυτό', 'πέφτω', 'έχω', 'ελευθερία']"
@AdonisGeorgiadi Πες λιγο λαθρομεταναστης να δω κατι,Πες λιγο λαθρομεταναστης κατι,"['πες', 'λιγο', 'λαθρομεταναστης', 'κατι']"
"@ManosVoularinos Βουλαρινε το έχασες το like σήμερα για ανακρίβειες.Οι νόμιμοι μετανάστες και πρόσφυγες έχουν τα ιδια δικαιώματα όπως όλοι μας.Ο Λαθρομετανάστης όμως  δεν έχει την ελευθερία.ΕΥΤΥΧΩΣ δεν λέει αυτός που θα χτίσουμε την κάθε φυλακή και εσύ ξέχασες το Λαθρο εσκεμμένα,ναι έχει δικιο",Βουλαρινε έχασες σήμερα ανακρίβειεςΟι νόμιμοι μετανάστες πρόσφυγες ιδια δικαιώματα όλοι μαςΟ Λαθρομετανάστης ελευθερίαΕΥΤΥΧΩΣ δεν λέει που χτίσουμε την κάθε φυλακή εσύ ξέχασες Λαθρο εσκεμμέναναι δικιο,"['βουλαρινε', 'έχασα', 'σήμερα', 'ανακρίβειεςος', 'νόμιμος', 'μετανάστα', 'πρόσφυγα', 'ιδιος', 'δικαιώμαα', 'όλος', 'μαςος', 'λαθρομετανάστης', 'ελευθερίαΕΥΤΥΧΩΣ', 'δεν', 'λέω', 'που', 'χτίσω', 'την', 'κάθε', 'φυλακή', 'εσύ', 'ξέχασες', 'λαθρο', 'εσκεμμέναναι', 'δικιο']"
"@kentrodexia @dimigalano Καλα μας δουλευει χοντρα και η ΝΔ, δηλαδη μπλε Συριζα! Τα σπιτια και επιδοματα που τους ταζουν, ΔΕΝ ειναι προσκληση? πρεπει να ειναι βλαμμενος ενας οικονομικος μεταναστης για να μην ερθει στη χωρα των ηλιθιων!",Καλα δουλευει χοντρα ΝΔ δηλαδη μπλε Συριζα σπιτια επιδοματα τους ταζουν ειναι προσκληση πρεπει ειναι βλαμμενος ενας οικονομικος μεταναστης ερθει χωρα ηλιθιων,"['καλα', 'δουλευει', 'χοντρας', 'νδ', 'δηλαδη', 'μπλε', 'συριζας', 'σπιτιας', 'επιδομαα', 'τους', 'ταζω', 'ειναι', 'προσκληση', 'πρεπω', 'ειναι', 'βλαμμενο', 'ενας', 'οικονομικο', 'μεταναστης', 'ερθει', 'χωρο', 'ηλιθια']"
"@INoodlehill Το μεταναστευτικό θέμα έχει πολλές εκφάνσεις, το μόνο σίγουρο είναι ότι το ελληνικό κράτος θέλει νοικοκύρεμα, δεν φταίει ο μετανάστης για την κατάσταση αλλά κάπως πρέπει να μπουν κανόνες που να τηρούνται από όσους μένουν σε αυτό το κομμάτι γης.",μεταναστευτικό θέμα πολλές εκφάνσεις μόνο σίγουρο ότι ελληνικό κράτος θέλει νοικοκύρεμα φταίει μετανάστης την κατάσταση κάπως μπουν κανόνες τηρούνται όσους μένουν αυτό κομμάτι γης,"['μεταναστευτικό', 'θέμα', 'πολλός', 'εκφάνσει', 'μόνο', 'σίγουρο', 'ότι', 'ελληνικό', 'κράτος', 'θέλω', 'νοικοκύρεμα', 'φταίει', 'μετανάστης', 'την', 'κατάσταση', 'κάπως', 'μπω', 'κανόνα', 'τηρούνται', 'όσους', 'μένω', 'αυτό', 'κομμάτι', 'γης']"
Πέτσας : Δεν θα μείνει κανένας οικονομικός μετανάστης στην Ελλάδα,Πέτσας μείνει οικονομικός μετανάστης Ελλάδα,"['πέτσας', 'μείνω', 'οικονομικός', 'μετανάστης', 'Ελλάδα']"
Σύρος μετανάστης δικάζεται για σωρεία αδικημάτων με θύμα τη σύζυγό του,Σύρος μετανάστης δικάζεται σωρεία αδικημάτων θύμα σύζυγό,"['σύρος', 'μετανάστης', 'δικάζομαι', 'σωρεία', 'αδικημάτος', 'θύμος', 'σύζυγό']"
"Χορταίνουν την πείνα τους με εθνικισμό και χασίς !Η Αλβανία είναι μια χώρα ντροπή για την Ευρώπη Ο λαός της, φτωχός και εξαθλιωμένος, είτε την εγκαταλείπει τρέχοντας, να δουλέψει στην Ελλάδα ως μετανάστης, είτε καταλήγει στο έγκλημα !",Χορταίνουν πείνα εθνικισμό χασίς Αλβανία μια χώρα ντροπή την Ευρώπη λαός φτωχός εξαθλιωμένος την εγκαταλείπει τρέχοντας δουλέψει Ελλάδα μετανάστης καταλήγει έγκλημα,"['χορταίνω', 'πείνος', 'εθνικισμό', 'χασίς', 'Αλβανία', 'μια', 'χώρα', 'ντροπή', 'την', 'Ευρώπη', 'λαός', 'φτωχός', 'εξαθλιωμένος', 'την', 'εγκαταλείπει', 'τρέχοντα', 'δουλέψω', 'Ελλάδα', 'μετανάστης', 'καταλήγω', 'έγκλημας']"
via @Dyn_Ellada_News,News,['news']
@apolwlos Το λες αυτό γιατί είσαι μετανάστης,λες γιατί μετανάστης,"['λες', 'γιατί', 'μετανάστης']"
"@cowmen57 Ρε συ τώρα το είδα. Υπέθεσα ότι ο κυρ Ηλίας ήταν μετανάστης από καμιά χώρα πρώην ανατολικού μπλοκ. Δεν έκανα τον κόπο να διαβάσω το ""άρθρο"". Ούτε φαντάστηκα ποτέ ότι θα ήταν τόσο μάλαξ και θα μιλούσε για Έλληνα!!! 😋🤣🤣🤣",συ είδα Υπέθεσα κυρ Ηλίας μετανάστης καμιά χώρα πρώην ανατολικού μπλοκ έκανα κόπο διαβάσω άρθρο φαντάστηκα ότι ήταν μάλαξ μιλούσε Έλληνα rolling floor laughing,"['συ', 'είδας', 'υπέθεσα', 'κυρ', 'Ηλίας', 'μετανάστης', 'καμί', 'χώρα', 'πρώην', 'ανατολικός', 'μπλοκ', 'έκανος', 'κόπο', 'διαβάσω', 'άρθρο', 'φαντάστηκα', 'ότι', 'ήταν', 'μάλαξ', 'μιλώ', 'έλληνας', 'rolling', 'floor', 'laughing']"
@Gath___ Χαχαχαχα Ηλίας καριφύλης --&gt;μετανάστης. Από την Αρκαδία στην Αθήνα να υποθέσω;😋,Χαχαχαχα Ηλίας καριφύλης gtμετανάστης την Αρκαδία Αθήνα υποθέσωface,"['χαχαχαχο', 'Ηλίας', 'καριφύλη', 'gtμετανάστη', 'την', 'αρκαδίος', 'Αθήνα', 'υποθέσωface']"
Το ζητούμενο είναι η ΟΜΑΛΗ ΕΝΣΩΜΑΤΩΣΗ &amp; η προσφορά  στην κοινωνία από την οποία ο οικονομικός μετανάστης ή «ιδιαίτερος» επενδυτής θέλει να λάβει άδεια παραμονής ή διαβατήριο,ζητούμενο ΟΜΑΛΗ ΕΝΣΩΜΑΤΩΣΗ προσφορά κοινωνία την οικονομικός μετανάστης «ιδιαίτερος» επενδυτής θέλει λάβει άδεια παραμονής διαβατήριο,"['ζητούμενος', 'ομαλη', 'ενσωματωση', 'προσφορά', 'κοινωνία', 'την', 'οικονομικός', 'μετανάστης', '«', 'ιδιαίτερος', '»', 'επενδυτής', 'θέλω', 'λάβω', 'άδεια', 'παραμονός', 'διαβατήριο']"
@StraydogGreece Η ΕΕ αυτό το σκορποχωρι ΨΕΎΔΕΤΑΙ πολιτικά ορθώς! Παρατυπος μετανάστης και ΜΑΛΑΚΕΣ! Δηλαδή τι πριν μπει στο αεροπλάνο ξέχασε τη βίζα του ή το διαβατήριο του? Μην κοροϊδεύουμε τους εαυτούς μας λέγοντας ψέμματα που είναι πολιτικά ορθά! Το ψεμμα είναι ψεμμα οποίος το λέει!,σκορποχωρι ΨΕΎΔΕΤΑΙ πολιτικά ορθώς Παρατυπος μετανάστης ΜΑΛΑΚΕΣ μπει αεροπλάνο ξέχασε βίζα διαβατήριο Μην κοροϊδεύουμε εαυτούς λέγοντας ψέμματα πολιτικά ορθά ψεμμα είναι ψεμμα το λέει,"['σκορποχωρι', 'ψεύδεται', 'πολιτικά', 'ορθώς', 'παρατυπο', 'μετανάστης', 'μαλακε', 'μπω', 'αεροπλάνο', 'ξέχασε', 'βίζα', 'διαβατήριο', 'μην', 'κοροϊδεύω', 'εαυτούς', 'λέγω', 'ψέμμαα', 'πολιτικά', 'ορθά', 'ψεμμας', 'είναι', 'ψεμμας', 'το', 'λέω']"
@angie22gr @Rantanp49061536 Κατάλαβα ο δίδυμος που πήγε μετανάστης στην Αμερική 😂😂😂😂😂😂,Rantanp Κατάλαβα δίδυμος πήγε μετανάστης Αμερική with face with tears joy,"['rantanp', 'κατάλαβας', 'δίδυμος', 'πηγαίνω', 'μετανάστης', 'Αμερική', 'with', 'face', 'with', 'tears', 'joy']"
Μυτιλήνη: Μετανάστης μπήκε από το παράθυρο σπιτιού για να βιάσει 20χρονη,Μυτιλήνη Μετανάστης μπήκε παράθυρο σπιτιού βιάσει χρονη,"['μυτιλήνη', 'μετανάστης', 'μπήκε', 'παράθυρος', 'σπιτί', 'βιάσω', 'χρονη']"
"τ μεγάλωσε σαν μετανάστης και βίωσε τον ίδιο αποκλεισμό με τους Αμερικανούς καλλιτέχνες που αποτέλεσαν το πρότυπό του. Μετά την επιτυχία, άρχισε να δέχεται ταυτόχρονα μια διπλή κριτική",μεγάλωσε μετανάστης βίωσε ίδιο αποκλεισμό τους Αμερικανούς καλλιτέχνες αποτέλεσαν πρότυπό Μετά επιτυχία άρχισε δέχεται ταυτόχρονα διπλή κριτική,"['μεγάλωσε', 'μετανάστης', 'βίωσε', 'ίδιος', 'αποκλεισμό', 'τους', 'αμερικανούς', 'καλλιτέχνε', 'αποτέλεσαν', 'πρότυπό', 'μετά', 'επιτυχία', 'άρχομαι', 'δέχομαι', 'ταυτόχρονα', 'διπλή', 'κριτική']"
@bogdanosk @sakismoumtzis Αν θυμάμαι υπήρξε συνεργασία με ΚΚΕ οπότε είχατε κ έχετε αποδεχτεί όλα τα κακώς κείμενα.,θυμάμαι υπήρξε συνεργασία ΚΚΕ είχατε αποδεχτεί κείμενα,"['θυμάμαι', 'υπήρξε', 'συνεργασία', 'κκε', 'έχω', 'αποδεχτώ', 'κείμενο']"
Παρεπιπτοντος ο Γκατζογιαννης που διέπρεψε στο εξωτερικό μεταναστης ήταν ή πρόσφυγας,Παρεπιπτοντος Γκατζογιαννης διέπρεψε εξωτερικό μεταναστης πρόσφυγας,"['παρεπιπτον', 'Γκατζογιαννης', 'διέπρεψε', 'εξωτερικό', 'μεταναστης', 'πρόσφυγας']"
@PrimeministerGR Το γνωρίζει ο οικονομικός μετανάστης αυτό? Του το λέτε όταν έρχεται?? Τον φορτώνετε στην ίδια βάρκα που ήρθε (αφού τη φουσκώσετε πρώτα) και να τον στείλετε στην Τουρκία?? Τι να τα κάνω τα λόγια??,γνωρίζει οικονομικός μετανάστης Του λέτε έρχεται φορτώνετε ίδια βάρκα ήρθε φουσκώσετε και τον στείλετε Τουρκία κάνω λόγια,"['γνωρίζω', 'οικονομικός', 'μετανάστης', 'του', 'λέτε', 'έρχομαι', 'φορτώνω', 'ίδιος', 'βάρκα', 'ήρθε', 'φουσκώσω', 'και', 'τον', 'στείλω', 'Τουρκία', 'κάνω', 'λόγια']"
"@MinDevGR Όλα αυτά τα ""πανηγύρια"" αφορούν την (κοινωνική ένταξη ειδικών πληθυσμιακών ομάδων, το άσυλο και η μετανάστευση, η δημόσια διοίκηση και η “καλή διακυβέρνηση”, η ορθολογική διαχείριση των φυσικών πόρων.) Και γίνομται στην καμπούρα εμάς του λαού.",αυτά πανηγύρια αφορούν κοινωνική ένταξη ειδικών πληθυσμιακών ομάδων άσυλο μετανάστευση δημόσια διοίκηση “καλή διακυβέρνηση” ορθολογική διαχείριση φυσικών πόρων γίνομται καμπούρα του λαού,"['αυτά', 'πανηγύρια', 'αφορώ', 'κοινωνικός', 'ένταξη', 'ειδικός', 'πληθυσμιακός', 'ομάδα', 'άσυλο', 'μετανάστευση', 'δημόσιος', 'διοίκηση', '""', 'καλός', 'διακυβέρνηση', '""', 'ορθολογικός', 'διαχείριση', 'φυσικός', 'πόρο', 'γίνομται', 'καμπούρα', 'του', 'λαός']"
